Course Title,Course Description,URL,Instructor,Course Rating,Number of Ratings,Course Length,Number of Lectures,Difficulty,Number of Students,Subscription Type,Price
React for beginners: Build a game while learning React,The very basics of React.js for absolute beginners,https://www.udemy.com/course/tic-tac-toe-a-playful-intro-to-react/,Hunor Borbély,4.7,104.0,1.0,13,Beginner,9476.0,Paid,599
GraphQL from Scratch - Realtime MERN Stack with React Node,Learn GraphQL from Scratch with MERN Stack (Mongo Express React Node) and Firebase to build Truly Realtime Web Apps,https://www.udemy.com/course/graphql-react-node/,Ryan Dhungel,4.6,104.0,19.5,141,All Levels,2918.0,Paid,599
Create a Business or Personal Website with Wordpress,Learn to Build a WordPress Website from Scratch  on your Local computer or a Shared Hosting Sever without Code.,https://www.udemy.com/course/create-a-business-or-personal-website-with-wordpress2018/,Bluelime Learning Solutions,4.4,104.0,3.5,33,Beginner,17798.0,Paid,649
Learn Javascript Web App Development -Build A Calculator App,"Javascript for Front End Web Development - Build Your Own Calculator App Using Javascript, HTML5 & CSS in an hour",https://www.udemy.com/course/create-a-calculator-web-app-with-javascript-html-css/,DigiFisk (Programming is fun),4.7,104.0,4.0,35,All Levels,4317.0,Paid,649
JavaScript Object Oriented Programming,"ES6 Classes, Prototypes, Function Constructors and Object Oriented Programming in JavaScript",https://www.udemy.com/course/object-oriented-programming-javascript/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.0,104.0,5.0,39,All Levels,13427.0,Paid,699
Supercharging Development With Atom Text Editor,"Learn Atom, A Hackable Text Editor By Github",https://www.udemy.com/course/atom-text-editor/,Dave P.,4.5,104.0,1.5,28,All Levels,1016.0,Paid,599
Java Masterclass | Beginner to OOP Programming with Eclipse,Learn Basic to Advanced Java programming Techniques and Methods as well as Object Orientated Programming,https://www.udemy.com/course/java-masterclass-beginner-to-oop-programming-with-eclipse/,Programming Tut,4.0,103.0,4.5,67,All Levels,6336.0,Paid,599
Projects in Django: Learn Django Building Projects,Learn to build real world professional Django apps from scratch,https://www.udemy.com/course/projects-in-django-learn-django-building-projects/,Eduonix Learning Solutions,4.0,103.0,6.0,49,Intermediate,10803.0,Paid,749
Single Page Application of MVC 5 Using AngularJS,Satisfying business need of Combining MVC 5 Application With AngularJS in Single Page Application.,https://www.udemy.com/course/maruti-spa-angularjs/,Maruti Makwana,4.1,103.0,1.5,18,Intermediate,1438.0,Paid,599
AngularJS For ASP.NET MVC Developers,The Fastest Way For .NET Developers To Add AngularJS To Their Resume,https://www.udemy.com/course/angularjs-for-aspnet-mvc-developers/,Brett Romero,3.1,103.0,1.0,10,Intermediate,3155.0,Paid,649
WordPress for Beginners | Ultimate Guide to Starting a Blog,Learn how to start a WordPress blog from scratch even if you have no prior technical experience.,https://www.udemy.com/course/wordpress-access-pass-guide-to-starting-a-blog-with-wordpress/,Anthony Tran,4.0,103.0,2.0,33,All Levels,6436.0,Paid,599
Fundamentals of Kubernetes,Learn the Core Concepts of Kubernetes. Get up and running with Kubernetes,https://www.udemy.com/course/fundamentals-of-kubernetes/,Geek Learn,4.4,103.0,2.5,29,All Levels,999.0,Paid,599
Modern React JS Hooks and Context with Most Recent Edition,"Dive in React and learn React JS, Hooks from scratch!You will understand React JS Hooks and Context with my React course",https://www.udemy.com/course/modern-react-js-hooks-and-context-with-most-recent-edition/,Oak Academy,4.4,102.0,3.5,29,All Levels,15262.0,Paid,649
Learn HTML and CSS in an Instant,Great course to learn html and css starting from scratch,https://www.udemy.com/course/learn-html-and-css-in-an-instant-by-advaithg/,Advaith Gollapudi,3.7,102.0,1.0,16,Beginner,5044.0,Paid,599
"Build Ecommerce Like Amazon By JavaScript, Node & MongoDB","The most up-to-date JavaScript course. Build a massive ECommerce app with Vanilla JS, Node, Express, MongoDB, Mongoose",https://www.udemy.com/course/build-ecommerce-like-amazon-javascript-node-mongodb/,Bassir Jafarzadeh,4.5,102.0,10.5,49,All Levels,463.0,Paid,799
Project with Laravel PHP:Make a doctor appointment system,"Make a doctor appointment web application with Laravel, PHP framework",https://www.udemy.com/course/laravel-php-doctor-appointment-web-application/,Ranjeet Karki,4.2,102.0,12.0,86,Intermediate,656.0,Paid,599
"2021 Fullstack: Full Laravel with QRCodes, APIs, Android/iOS","The ultimate course full stack development course bundle - MVC, Laravel, QRcodes, Payment integration,APIs,microservices",https://www.udemy.com/course/2018-masterclass-laravel-56qrcodesapisandroid-and-ios/,Dave Partner,3.7,102.0,16.0,155,All Levels,2860.0,Paid,699
PHP Crash Course For Absolute Beginners 2021,Learn the basic fundamentals of PHP,https://www.udemy.com/course/php-crash-course-for-absolute-beginners-2021/,Imran Sayed,4.5,102.0,2.0,10,Beginner,10138.0,Paid,599
API Developer (Python/Django Rest/Flask/PostgreSQL/Postman),"Application Programming Interfaces (APIs)  Development using : Python, Django, Rest, Flask, PostgreSQL",https://www.udemy.com/course/api-developer-pythondjango-restflaskpostgresqlpostman/,Bluelime Learning Solutions,4.2,101.0,5.0,64,Beginner,19937.0,Paid,649
Modules developer guide for Prestashop 1.7,Learn about modules & create your own,https://www.udemy.com/course/create-module-prestashop-1-7/,Aloui Mohamed Habib,3.8,101.0,3.0,46,Intermediate,740.0,Paid,599
GraphQL with Django and Python,Create an API from an Excel spreadsheet,https://www.udemy.com/course/graphql-django/,Sats Sehgal,4.3,101.0,0.6,5,Intermediate,4449.0,Paid,599
ASP.NET CORE 2.2.1 COURSE,"Learn and build full apps with Asp Net Core 2.2.1,Angular 6,Entity Framework Core,Identity Core,NET Standarts,React.js",https://www.udemy.com/course/asp-net-core-2-angular-4/,Happy Code,2.5,101.0,4.5,71,All Levels,407.0,Paid,599
Strongly Typed Next.js,"Create a full stack web application with Next.js, TypeScript and GraphQL",https://www.udemy.com/course/strongly-typed-next-js/,Michael Stromer,4.1,99.0,6.5,92,All Levels,934.0,Paid,699
WordPress Landing Page Design (from Basic To Advanced),Learn How To Create An Effective Landing Page For High Conversion Using WordPress!,https://www.udemy.com/course/wordpress-landing-page-design/,KC Tan,4.6,99.0,1.5,32,All Levels,1928.0,Paid,649
Javascript Specialist,Earn a Professional Credential while Learning Javascript Coding,https://www.udemy.com/course/javascript-specialist/,"Framework Tech Media, Mark Lassoff",4.6,99.0,8.0,81,Beginner,684.0,Paid,649
Learning Modern HTML & CSS made EASY AND FAST,"The best way to learn modern and responsive web design, HTML5 and CSS3 step-by-step from scratch. Ready WEB portfolio!",https://www.udemy.com/course/responsive-and-modern-websites-using-html5-css3/,Tim Kurbanov,3.5,99.0,5.5,32,Beginner,7175.0,Paid,599
Master Electron Framework And Build 5 Advanced Desktop Apps,"Become an Advanced Desktop Apps Developer by Building Native Cross Platform Desktop Apps With Electron JS, HTML and CSS",https://www.udemy.com/course/master-electron-js-framework-build-5-advanced-desktop-apps/,Mubarak Awal,4.0,99.0,8.0,85,Beginner,777.0,Paid,599
Learn PHP Programming for Absolute Beginners,Learn Fundamental of PHP as per the Current Industry Demands.,https://www.udemy.com/course/learn-php-programming-for-absolute-beginners/,EDUmobile Academy,3.5,98.0,2.0,20,All Levels,5382.0,Paid,649
Web Development With HTML; CSS and Javascript,Learn HTML;CSS and Javascript! Learn Github Pages and Freelancing!,https://www.udemy.com/course/webdevwithbrendan/,Coding Flow,4.2,98.0,0.6,6,Beginner,3948.0,Paid,599
Web Scraper or Data Scraping For Beginners to Data Analysis,Data is what that creates innovation.,https://www.udemy.com/course/web-scraper/,Srinivas Muralidharan,3.7,98.0,1.0,11,Beginner,5572.0,Paid,599
Laravel React CRUD/SPA APP in 2 hours,Learn to make GET POST PUT and DELETE requests to laravel backend using axios from React Components. Build CRUD / SPA.,https://www.udemy.com/course/laravel-react-crud/,Ryan Dhungel,4.6,98.0,2.0,18,All Levels,431.0,Paid,599
Learning Web Security OWASP Top 10 2019,New Web Security 2019,https://www.udemy.com/course/learning-web-security-owasp-top-10/,Blue Moon,3.9,98.0,1.0,12,All Levels,290.0,Paid,749
"Build A Web App with VueJS, Spring Framework and MongoDB","Through building an app to learn Vue.JS, Spring Boot, MongoDB, Google SSO and more",https://www.udemy.com/course/build-a-message-board-app-with-vue-spring-and-mongodb/,Le Deng,3.8,98.0,3.5,25,All Levels,559.0,Paid,649
The Complete Guide to Java EE 8: 3-in-1,Explore the Java EE platform to build enterprise-ready Java applications,https://www.udemy.com/course/the-complete-guide-to-java-ee-8-3-in-1/,Packt Publishing,3.8,98.0,8.5,87,Beginner,610.0,Paid,649
Python Web Programming,Access and parse the web with Python,https://www.udemy.com/course/python-web-programming/,Stone River eLearning,4.0,97.0,6.0,58,Beginner,1294.0,Paid,749
Complete Developers Guide: Ruby on Rails & React with Redux,Ultimate coding for the web! Learn to develop apps with practical projects. Master the fundamentals of coding languages.,https://www.udemy.com/course/rubyrailsreactredux/,"Mammoth Interactive, John Bura",4.7,97.0,50.5,282,Beginner,717.0,Paid,649
PHP Essential How to create build Amazing websites with PHP,Learn the foundations and features of why PHP code is so popular through this series of clear easy to follow lessons,https://www.udemy.com/course/php-essential-how-to-create-build-amazing-websites-with-php/,Laurence Svekis,4.0,97.0,3.5,44,Beginner,14069.0,Paid,649
PHPUnit - Unit & Selenium Testing For PHP Developers,Includes Test-Driven Development (TDD) by creating real life app with PHP & PHPUnit and Selenium acceptance testing,https://www.udemy.com/course/phpunit-unit-selenium-testing-for-php-developers/,"Symfony, Laravel & PHPUnit Stuff",4.2,96.0,10.5,78,All Levels,777.0,Paid,749
"Web Application Development using Redis, Express, and Socket","Get started with building robust, dynamic, real-time applications using the powerful frameworks of Node.js",https://www.udemy.com/course/web-application-development-using-redis-express-and-socket/,Packt Publishing,4.6,96.0,6.0,66,Beginner,1082.0,Paid,699
School Management System - Build With PHP CodeIgniter Part 2,"This is the only course on this platform where school website, computer based test, chat application is fully developed",https://www.udemy.com/course/php-school-system-using-codeigniter-framework2020-part-2/,Olawuyi Segun Orisunola,4.8,96.0,13.5,133,All Levels,922.0,Paid,599
Information Retrieval and Mining Massive Data Sets,Learn various techniques to build a Google scale Information Retrieval System.,https://www.udemy.com/course/information-retrieval-and-mining-massive-data-sets/,"Omkar Deshpande, Mentors Net",4.1,96.0,39.0,123,All Levels,1732.0,Paid,599
Build a Responsive Real World Website From Scratch HTML CSS,Learn How to design an attractive and responsive website from scratch for all devices by using HTML5 CSS3 and Javascript,https://www.udemy.com/course/complete-responsive-website-design-from-scratch/,Md Irshad Ansari,4.1,96.0,2.5,17,Intermediate,1781.0,Paid,599
Learn By Example: Angular JS,A complete first principles guide to Angular JS,https://www.udemy.com/course/learn-by-example-angular-js/,Loony Corn,4.3,96.0,7.0,60,All Levels,2911.0,Paid,649
CSS For Everyone: Learn CSS3 From Scratch,Learn CSS to build responsive real world websites with CSS3 and become a modern web designer,https://www.udemy.com/course/css-for-everyone-learn-css-from-scratch/,Oak Academy,4.4,96.0,3.5,31,All Levels,8492.0,Paid,599
Ultimate JavaScript Objects,"The Ultimate Guide to JavaScript Objects, where students will learn to create, copy, and master JavaScript Objects",https://www.udemy.com/course/js-objects/,Daniel Stern,4.0,96.0,2.5,65,All Levels,1818.0,Paid,599
Angular 2 Jump Start With Typescript,Understand Brand New AngularJs 2 Framework By Building Apps,https://www.udemy.com/course/angular-2-jump-start-with-typescript/,Anto Aravinth,4.1,96.0,4.0,75,All Levels,1851.0,Paid,599
Booking System in Laravel With Hybrid Mobile Version,Advanced Web Development with Laravel (nice PHP framework) by creating Web App - Reservation System with Mobile Version,https://www.udemy.com/course/booking-system-in-laravel-5-with-hybrid-mobile-version/,"Symfony, Laravel & PHPUnit Stuff",4.2,95.0,6.0,72,Intermediate,765.0,Paid,649
Angular JS - Complete Guide (2022 edition),Build Awesome Web Apps using Angular JS,https://www.udemy.com/course/angularjscompleteguide/,THE K INSTRUCTOR,2.6,95.0,7.0,68,All Levels,30055.0,Paid,649
Build CHATBOTS with Dialogflow (V1 & V2) and NodeJS,BASICS TO ADVANCED. Learn to build Chatbots using the all-powerful NLP platform Dialogflow (V1 &V2) and Node.JS.,https://www.udemy.com/course/bots-with-dialogflow/,Feroz S,3.7,95.0,8.0,31,All Levels,608.0,Paid,749
PHP with OOP Bootcamp 2021,In 2021 learn Object Oriented Programming (OOP) in PHP and go from Beginner to Advanced level!,https://www.udemy.com/course/complete-object-oriented-programming-in-php-start-to-finish/,"Usman Raoof, Hassan Munir, Fahad Chaudhry",4.1,95.0,2.0,30,All Levels,5618.0,Paid,649
"Angular 12, .NET Core Web API & Microsoft SQL full-stack app","learn to create a full stack web application from scratch using Microsoft SQL Server, .NET Core Web API and Angular 12",https://www.udemy.com/course/angular-12-net-core-web-api-microsoft-sql-full-stack-app/,Vinay Kumar,4.1,95.0,1.0,21,Beginner,18157.0,Paid,599
Codeless Website Development with Adobe Muse,"Design Beautiful, Interactive Websites without Coding",https://www.udemy.com/course/codeless-website-development-with-adobe-muse/,"Framework Tech Media, John Secor",4.4,94.0,3.5,46,All Levels,576.0,Paid,699
Everything You Need For Web Development,"Front-end, Back-end, Databases and Everything Else",https://www.udemy.com/course/everything-you-need-for-web-development/,Anshul Yadav,4.1,94.0,2.5,37,Beginner,14259.0,Paid,749
End to End React with Prisma 2,Learn everything needed to build a fully-featured social RSS news reader,https://www.udemy.com/course/end-to-end-react-with-prisma-2/,Stephen Jensen,3.9,94.0,10.5,34,Intermediate,21222.0,Paid,599
JavaScript Tutorial,Programming is all about practice - let's minimize explanation of theory and do more coding,https://www.udemy.com/course/lets-learn-javascript-by-coding/,IT Solutions,1.4,94.0,4.5,37,All Levels,616.0,Paid,699
Web Developer Fundamentals: Newbie to Pro Web Bootcamp!,The 12 must have web programming courses to help you become the ultimate web developer. Includes 50+ hours of training.,https://www.udemy.com/course/become-a-web-developer/,Simon Sez IT,4.4,94.0,54.5,424,All Levels,7366.0,Paid,649
"2D Game Development With HTML5 Canvas, JS - Tic Tac Toe Game",Javascript for Front End Web App Development - HTML5 Canvas & CSS3 - 2D game development - create the game from scratch,https://www.udemy.com/course/build-a-tic-tac-toe-game-with-javascript-html5-canvas-css3/,DigiFisk (Programming is fun),4.3,94.0,5.5,55,All Levels,2904.0,Paid,649
Gatsby JS & Prismic: Build RAPID Gatsby sites | Gatsby 2022,Gatsby JS & Prismic - use Prismic headless CMS data in Gatsby to generate Gatsby static sites & deploy with Netlify,https://www.udemy.com/course/gatsby-js-prismic-netlify/,Tom Phillips,4.5,93.0,3.0,35,All Levels,518.0,Paid,599
Google Apps Script Build 28+ Fun Projects Sites G Suite,Explore Google Apps Script see amazing Google Apps Script projects build power up your GSuite Google Apps Script Plus,https://www.udemy.com/course/google-apps-script-projects/,Laurence Svekis,4.6,93.0,33.5,597,All Levels,1000.0,Paid,649
Mern Full Stack Web Application with React & Web Development,"Mern Full Stack Web development React projects & Web Application with React JS, NodeJS, Express JS, Mongodb: Mern Stack",https://www.udemy.com/course/mern-full-stack-web-application-with-react-web-development/,Oak Academy,4.3,93.0,27.5,246,All Levels,444.0,Paid,649
React JS & Firebase Complete Course (incl. Chat Application),"Create ""real world"" React JS applications connected to Firestore (Firebase). Redux, authentication + real time features!",https://www.udemy.com/course/react-js-firebase-complete-course-incl-chat-application/,"Eincode by Filip Jerga, Filip Jerga",4.6,93.0,24.5,119,All Levels,887.0,Paid,649
Learn ASP.NET Core Step By Step,Upgrade Yourself to Dot Net Core Now!,https://www.udemy.com/course/aspnetcoremaruti/,Maruti Makwana,4.5,93.0,1.5,12,Beginner,3360.0,Paid,599
Web Mapping and Web-GIS from Dev to Deployment: GeoDjango,"Lets make the digital maps. Learn about leafletjs, GeoDjango, PostGIS and GeoServer",https://www.udemy.com/course/web-mapping-and-web-gis-from-dev-to-deploy-2021-geodjango/,Tek Bahadur Kshetri,4.1,93.0,6.5,55,Intermediate,734.0,Paid,649
Learn HTML & CSS in 2 hours (Inc. HTML5 and CSS3),"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch.",https://www.udemy.com/course/the-complete-html-and-css-bootcamp-inc-html5-and-css3/,Ali Hesari,3.9,93.0,2.0,31,Beginner,4031.0,Paid,599
Learn Express,Master Express - the fast and lightweight Node framework for building backend servers,https://www.udemy.com/course/learn-express/,Daniel Stern,4.2,93.0,1.5,14,Intermediate,1421.0,Paid,649
A Complete Laravel basics from beginner to expert,Learn all the necessary functionality of Laravel and start working as a professional,https://www.udemy.com/course/learn-laravel-from-beginner-to-expert/,Faisal Imtiaz,3.7,92.0,1.5,12,All Levels,3529.0,Paid,649
Web Development HTML CSS & JS  a  Beginner to Advance guide,"HTML5 CSS3 SASS and JavaScript Modern Responsive websites using CSS Flexbox & CSS Grid, Manipulate the DOM & send JSON",https://www.udemy.com/course/web-development-a-practical-html-css-and-js-beginner-course/,Norbert B. Menyhart,4.2,92.0,25.0,132,All Levels,3472.0,Paid,649
"Build a To-Do List App with Node, Express, React and MongoDB","Learn React, Express and MongoDB while building a fun to-do list app",https://www.udemy.com/course/build-to-do-list-app-with-node-express-react-mongodb/,Moath M.,4.8,92.0,4.0,65,All Levels,17067.0,Paid,649
Advanced PHP Ajax Registration & Login Form,"Ajax Signup & Login Form With Real Time Validations & Complete User Profile with Ajax & PHP, Learn Regular Expressions",https://www.udemy.com/course/ajax-signup-login-form-with-cool-validations/,Shakil Khan,4.2,92.0,11.0,78,All Levels,4366.0,Paid,749
Learn React In a Better Way,Master React main concepts and build Single Page Applications using ReactJS,https://www.udemy.com/course/learn-react-in-a-better-way/,Nathan Krasney,3.9,92.0,4.5,97,Beginner,1310.0,Paid,649
Application Development with IBM WATSON,Chatbot | Visual Analyzer | Tone Analyzer | Face Detection | Voice Detection | and much more..,https://www.udemy.com/course/ibm-watson-exploring-services-application-development/,Harshit Srivastava,3.8,92.0,2.5,19,All Levels,810.0,Paid,599
React practice course. Build React app from scratch.,Learn React doing a real project with Storybook and unit tests.,https://www.udemy.com/course/react-practice-course-build-react-app-from-scratch/,Maksym Rudnyi,4.1,92.0,4.5,45,All Levels,8752.0,Paid,649
Learn PHP - For Absolute Beginners,be a master of PHP,https://www.udemy.com/course/learn-php-for-absolute-beginners/,THE K INSTRUCTOR,3.5,92.0,1.5,14,All Levels,11227.0,Paid,749
The Django Bible™ | Python for Web Developer,"Build 6 stunning web apps, Learn Back End Web Development using django 3.1.2 and plus!",https://www.udemy.com/course/the-django-bibletm-python-for-web-developer/,Sachin Kafle,3.8,92.0,41.5,122,Beginner,7835.0,Paid,699
How To Create A Professional Website Without Coding,Learn how to build any kind of website using Oxygen Builder,https://www.udemy.com/course/how-to-create-professional-websites-without-coding-oxygen-builder/,Dawid Tuminski,4.4,92.0,10.0,114,All Levels,502.0,Paid,749
Getting Started with NodeJS for Beginners,Learn Basic of Powerful JavaScript Engine NodeJS with Core Libraries,https://www.udemy.com/course/getting-started-with-nodejs-for-beginners/,EDUmobile Academy,4.1,92.0,1.0,12,All Levels,1672.0,Paid,649
Getting Started with Building a GWT Web Application,Learn the basics to making a GWT application quickly and easily.,https://www.udemy.com/course/getting-started-with-building-a-gwt-web-application/,Brandon Donnelson,3.7,92.0,3.0,19,Beginner,324.0,Paid,599
Mastering Odoo v11.0 Development,"Learn how to develop modules for Odoo v11.0 CE, then push it to remote servers and deploy it using Apache2 and Nginx.",https://www.udemy.com/course/mastering-odoo-v110-development/,Mohamed Magdy,2.6,92.0,2.0,13,All Levels,443.0,Paid,649
React Master Class - Learn By Coding Components,Learn React step by step from basics to advanced by building UI components in simple and intuitive way + includes hooks,https://www.udemy.com/course/reactjs-beyond-the-basics/,Rajesh Pillai,4.7,92.0,21.5,129,All Levels,678.0,Paid,749
Cloud Computing and Amazon Web Services (AWS) Fundamentals,"Examine the Key Principles of Cloud Computing including Service Models, Deployment Models, & Foundations of AWS",https://www.udemy.com/course/cloud-computing-and-amazon-web-services-aws-fundamentals/,YouAccel Training,4.2,92.0,2.5,34,Beginner,14337.0,Paid,649
Lightning fast memory grids using Hazelcast IMDG,Deep dive on developing and monitoring a memory grid using Hazelcast and spring boot,https://www.udemy.com/course/lightning-fast-memory-grids-using-hazelcast-imdg/,MEHRUF MEHERALI,4.2,91.0,1.5,11,Beginner,441.0,Paid,599
"Build Real World Website with PHP, PDO & MySQL","Let's Learn Prepared Statements, PDO & Building Dynamic Websites with PHP and MySQL",https://www.udemy.com/course/build-real-world-website-with-php-pdo-and-mysql/,Md. A. Barik,4.7,91.0,8.0,60,All Levels,25866.0,Paid,699
React and Redux - Building a Production E-Commerce,"Learn React.js, Redux, React Router, Ramda, while creating real project of ecommerce shop",https://www.udemy.com/course/building-a-production-e-commerce-with-react-redux/,Oleksandr Kocherhin,3.9,91.0,3.0,17,Intermediate,651.0,Paid,649
The Extreme Web Development Course - For Beginners,"Learn Web development easily and automatically.HTML5, CSS3, Javascript, JQuery,Ajax,Bootstrap 4 ,PHP ,MYSQL and MORE...",https://www.udemy.com/course/the-extreme-web-development-course/,Paul Carlo Tordecilla,3.7,91.0,6.0,156,All Levels,1536.0,Paid,649
Tailwind CSS : A Modern Way To Build Websites Using CSS,Learn Tailwind by building a fully responsive real estate portal & interactive dashboard. Become a TailwindCSS expert,https://www.udemy.com/course/tailwind-css-course/,Ashutosh Pawar,4.5,90.0,6.5,68,All Levels,719.0,Paid,799
Laravel 8.X and 7.X from beginners to master.,Build  An E-commerce Website By using Stripe and PayPal Api for payment. Learn PHP Framework from A to Z.,https://www.udemy.com/course/laravel-7x-from-beginners-to-master/,Héritier N'kele N'kele,4.5,91.0,19.0,113,Beginner,11204.0,Paid,599
"Web Development Essentials - HTML5, CSS, Javascript",Learn the basic tools that are needed in every web application development.,https://www.udemy.com/course/web-development-essentials-html5-css-javascript/,Shay Tavor,3.7,91.0,4.5,59,Beginner,428.0,Paid,649
Learn HTML - For Beginners,Lean how to create web pages using HTML,https://www.udemy.com/course/learn-complete-html-programming-from-scratch/,Kiran Gavali,4.4,91.0,1.0,11,Beginner,6119.0,Paid,599
Ruby on Rails 6 Complete Beginner's Course,Learn the latest version of Rails in this new course and build powerful web applications with ease.,https://www.udemy.com/course/complete-beginners-course-for-ruby-on-rails-6/,David Battersby,4.2,91.0,4.5,71,Beginner,396.0,Paid,649
The Complete CSS Course,Learn CSS from beginner to advanced level with both theoretical and practical explanations,https://www.udemy.com/course/the-complete-css-course-u/,Farda Karimov,4.4,91.0,5.0,70,All Levels,16768.0,Paid,649
Learn Spring Framework Practically - Hands On Recipies,"Build your Web Dev toolbox of Spring Boot, Spring Data, Spring Security, Spring REST",https://www.udemy.com/course/learn-spring-framework-practically-hands-on-recipies/,Le Deng,3.9,91.0,5.5,48,All Levels,745.0,Paid,649
Create Virtual Reality Apps using React VR & React 360,In and Out of React VR and React 360 - a virtual reality technology that holds enormous potential to change the future.,https://www.udemy.com/course/create-virtual-reality-apps-using-react-vr-react-360/,A to Z Mentors,4.5,90.0,7.0,61,All Levels,917.0,Paid,749
The Complete TypeScript Programming Guide for Web Developers,Master TypeScript Development and Object Oriented JavaScript,https://www.udemy.com/course/typescript-programming/,"Eduonix Learning Solutions, Eduonix-Tech .",4.3,90.0,4.0,36,Intermediate,452.0,Paid,649
Cloud Computing with AWS Amazon Web Services,Learn multiple AWS cloud services from Beginner to Advanced Level,https://www.udemy.com/course/cloud-computing-with-aws-amazon-web-services/,Harshit Srivastava,3.8,90.0,10.0,108,All Levels,763.0,Paid,599
JavaScript 101: JavaScript for absolute beginners,Learn how to code in JavaScript even if you've never written any JavaScript in your life.,https://www.udemy.com/course/javascript-tutorial/,Kalob Taulien,4.7,89.0,3.0,31,Beginner,6977.0,Paid,649
SharePoint 2019 Administration Training From Zero to Hero,Complete SharePoint Admin Training,https://www.udemy.com/course/sharepoint-2019-administration/,M Darwish,4.3,90.0,6.0,61,All Levels,818.0,Paid,599
CSS Layout Techniques,Learn CSS Layout Techniques from Scratch! Hands-On CSS Positioning Course Learn to Design and Customise CSS Page Layouts,https://www.udemy.com/course/css-layout-techniques/,Crypters Infotech,3.9,90.0,4.0,30,All Levels,426.0,Paid,649
Learn ReactJS: Code Like A Facebook Developer,"Get started with React JS, an exciting new JavaScript library",https://www.udemy.com/course/learn-react-js/,Dave P.,3.9,90.0,6.0,67,Intermediate,2013.0,Paid,599
The Advanced HTML 5 Course,Learn advanced HTML 5 practically from scratch.,https://www.udemy.com/course/advanced-css-3-practical-course-2020/,"Abdul Motin, It Corp",3.3,90.0,0.6,5,All Levels,11077.0,Paid,649
Rapid PrimeFaces,Develop JSF-rich internet applications through the exciting world of PrimeFaces,https://www.udemy.com/course/rapid-primefaces/,Packt Publishing,3.8,90.0,1.5,16,All Levels,473.0,Paid,699
Joomla 3 Template Design,Our Joomla 3 template class shows you how to use Joomla and the Bootstrap framework to create beautiful designs.,https://www.udemy.com/course/joomla-3-template-design/,OS Training LLC,3.7,90.0,3.5,41,All Levels,676.0,Paid,599
Building Websites Create a fully functional Web contact form,Step by step guide on how to create a submit-able web form scratch using HTML CSS jQuery Bootstrap and PHP,https://www.udemy.com/course/how-to-create-a-fully-functional-web-contact-form/,Laurence Svekis,4.0,90.0,1.5,20,Beginner,8772.0,Paid,649
Create your own Cryptocurrency & ICO Page with Solidity,Become a Blockchain Developer by creating your own ICO-Cryptocurrency with Ethereum & Solidity - Tutorial 2019,https://www.udemy.com/course/create-your-own-cryptocurrency-ico-page-with-solidity/,ARdeveloper TT,3.9,90.0,3.0,47,Intermediate,640.0,Paid,649
Interaction Design Specialist For Web Developers,Learn how to become an Interaction Design Specialist along with Wireframing fundamentals and boost your career,https://www.udemy.com/course/interaction-design-specialist-for-web-developers/,"ClayDesk E-learning, Syed Ali, Syed Raza, Qasim Shah",4.1,90.0,2.0,19,All Levels,23689.0,Paid,699
Build a Google Meet Clone from Scratch: WebRTC & Socket io,"Learn webrtc and build a website like google meet from scratch using WebRTC, socket io & Javascript.",https://www.udemy.com/course/build-a-google-meet-clone-from-scratch/,Km Habib,4.2,90.0,8.5,56,All Levels,1151.0,Paid,799
Building HTML5 Canvas projects from scratch,Learn to create several useful code projects using html5 canvas JavaScript.  Learn by example as we build these projects,https://www.udemy.com/course/building-html5-canvas-projects-from-scratch/,Laurence Svekis,3.1,90.0,2.0,26,Beginner,28130.0,Paid,649
HTML Forms For Beginners: A Basic Introduction  ,Learn to create  and apply css style to simple basic HTML Input forms,https://www.udemy.com/course/html-forms-for-beginners-a-basic-introduction/,Bluelime Learning Solutions,4.3,90.0,1.0,9,Beginner,7263.0,Paid,649
The Complete PHP Masterclass - Go from Beginner to Artisan,This PHP course gives you the skills you need to succeed as a freelance software engineer.,https://www.udemy.com/course/the-complete-php-masterclass-go-from-beginner-to-artisan/,"Rick Mac Gillis, Red Scale Corporation",4.4,89.0,41.5,224,All Levels,8919.0,Paid,749
NodeJs React Rest Summer Special 2020,NodeJs React Madness!,https://www.udemy.com/course/nodejs-react-rest-summer-special-2020/,Zach LaCourse,4.6,90.0,26.0,193,All Levels,36492.0,Paid,599
Learn Docker For Absolute Beginners,How To Get Started With Docker For Absolute Beginners,https://www.udemy.com/course/learn-docker-for-absolute-beginners/,Ahmed Tabana,4.3,89.0,1.5,25,Beginner,5580.0,Paid,599
Creating HTML5 banners & animations using Adobe Animate CC,"Learn how to create industry standard, high quality HTML5 banners quickly and efficiently using Adobe Animate CC 2017",https://www.udemy.com/course/html5-banners-adobe-animate-cc/,Yashin Soraballee,3.8,89.0,1.0,12,All Levels,2590.0,Paid,599
The Web Development Beginner's Bootcamp 2020,A practical guide to learn web development from scratch.,https://www.udemy.com/course/the-web-development-course-2020/,"Istiak Ahamed Sishir, Sobuj Mahbub",2.8,89.0,1.0,8,All Levels,6637.0,Paid,699
